Sample Location,Decision Unit,Sample Type,Sample Depth (feet bgs),Sample ID,Sample Date,Chemical,Concentration,Detection
West Parcel,DU-5,ISM,0-1 FR,DU-5 (0-1)C,44764,Zinc,197,NA
West Parcel,DU-5,ISM,1-2,DU-5 (1-2)A,44767,Antimony,0.551,NA
West Parcel,DU-5,ISM,1-2,DU-5 (1-2)A,44767,Arsenic,7.47,NA
West Parcel,DU-5,ISM,1-2,DU-5 (1-2)A,44767,Chromium,41.4,NA
West Parcel,DU-5,ISM,1-2,DU-5 (1-2)A,44767,Copper,237,NA
West Parcel,DU-5,ISM,1-2,DU-5 (1-2)A,44767,Lead,70.5,NA
West Parcel,DU-5,ISM,1-2,DU-5 (1-2)A,44767,Mercury,0.111,NA
West Parcel,DU-5,ISM,1-2,DU-5 (1-2)A,44767,Nickel,27.6,NA
West Parcel,DU-5,ISM,1-2,DU-5 (1-2)A,44767,Selenium,0.335,J
West Parcel,DU-5,ISM,1-2,DU-5 (1-2)A,44767,Zinc,157,NA
West Parcel,DU-5,ISM,1-2 FR,DU-5 (1-2)B,44767,Antimony,0.832,NA
West Parcel,DU-5,ISM,1-2 FR,DU-5 (1-2)B,44767,Arsenic,8.09,NA
West Parcel,DU-5,ISM,1-2 FR,DU-5 (1-2)B,44767,Chromium,41.2,NA
West Parcel,DU-5,ISM,1-2 FR,DU-5 (1-2)B,44767,Copper,223,NA
West Parcel,DU-5,ISM,1-2 FR,DU-5 (1-2)B,44767,Lead,51.8,NA
West Parcel,DU-5,ISM,1-2 FR,DU-5 (1-2)B,44767,Mercury,0.131,NA
West Parcel,DU-5,ISM,1-2 FR,DU-5 (1-2)B,44767,Nickel,29.5,NA
West Parcel,DU-5,ISM,1-2 FR,DU-5 (1-2)B,44767,Selenium,0.326,J
West Parcel,DU-5,ISM,1-2 FR,DU-5 (1-2)B,44767,Zinc,179,NA
West Parcel,DU-5,ISM,1-2 FR,DU-5 (1-2)C,44767,Antimony,0.572,NA
West Parcel,DU-5,ISM,1-2 FR,DU-5 (1-2)C,44767,Arsenic,7.18,NA
West Parcel,DU-5,ISM,1-2 FR,DU-5 (1-2)C,44767,Chromium,42.9,NA
West Parcel,DU-5,ISM,1-2 FR,DU-5 (1-2)C,44767,Copper,220,NA
West Parcel,DU-5,ISM,1-2 FR,DU-5 (1-2)C,44767,Lead,53.7,NA
West Parcel,DU-5,ISM,1-2 FR,DU-5 (1-2)C,44767,Mercury,0.369,NA
West Parcel,DU-5,ISM,1-2 FR,DU-5 (1-2)C,44767,Nickel,58.9,NA
West Parcel,DU-5,ISM,1-2 FR,DU-5 (1-2)C,44767,Selenium,0.317,J
West Parcel,DU-5,ISM,1-2 FR,DU-5 (1-2)C,44767,Zinc,167,NA
West Parcel,DU-5,ISM,2-3,DU-5 (2-3)A,44768,Antimony,0.426,J
West Parcel,DU-5,ISM,2-3,DU-5 (2-3)A,44768,Arsenic,6.73,NA
West Parcel,DU-5,ISM,2-3,DU-5 (2-3)A,44768,Chromium,38.4,NA
